top,green,button-up,"striped, cropped",yes,1
bottom,black,skirt,long,yes,1
shoes,black,boot,rain,yes,1
outerwear,green,sweater,cardigan,yes,1
bottom,blue,jean,"wide-legged, belt-looped",no,1
outerwear,blue,jacket,rain,yes,2
top,pink,shirt,cropped,yes,1
bottom,black,sweats,shin length,yes,1
shoes,black,dress,mary janes,yes,1
top,black,shirt,"cropped, pocket",no,1
top,black,button-up,white writing,yes,1
bottom,black,skirt,"above knee, shorts under",yes,1
